onset	duration	sample	value	key	prompt_text
1.635	14.6275	3270	prompt	n/a	the quick brown fox jumps over a lazy dog\n
4.2625	0.013	8525	keystroke_t	t	n/a
4.2905	0.0905	8581	keystroke_h	h	n/a
4.5	0.12	9000	keystroke_e	e	n/a
4.6505	0.1205	9301	keystroke_Key.space	Key.space	n/a
4.846	0.075	9692	keystroke_q	q	n/a
4.9355	0.09	9871	keystroke_q	q	n/a
5.1155	0.1045	10231	keystroke_u	u	n/a
5.1755	0.105	10351	keystroke_i	i	n/a
5.4455	0.105	10891	keystroke_c	c	n/a
5.535	0.091	11070	keystroke_k	k	n/a
5.6855	0.105	11371	keystroke_Key.space	Key.space	n/a
6.346	0.075	12692	keystroke_b	b	n/a
6.5705	0.075	13141	keystroke_r	r	n/a
6.856	0.09	13712	keystroke_o	o	n/a
6.961	0.105	13922	keystroke_w	w	n/a
7.081	0.1055	14162	keystroke_n	n	n/a
7.2305	0.12	14461	keystroke_Key.space	Key.space	n/a
8.2325	0.0755	16465	keystroke_f	f	n/a
8.353	0.09	16706	keystroke_o	o	n/a
8.4735	0.105	16947	keystroke_x	x	n/a
8.6535	0.1055	17307	keystroke_Key.space	Key.space	n/a
9.524	0.09	19048	keystroke_j	j	n/a
9.584	0.105	19168	keystroke_u	u	n/a
9.809	0.195	19618	keystroke_m	m	n/a
9.989	0.1045	19978	keystroke_o	o	n/a
11.0985	0.105	22197	keystroke_Key.backspace	Key.backspace	n/a
11.5495	0.104	23099	keystroke_p	p	n/a
11.624	0.135	23248	keystroke_s	s	n/a
11.7435	0.1205	23487	keystroke_Key.space	Key.space	n/a
12.239	0.09	24478	keystroke_o	o	n/a
12.3895	0.1195	24779	keystroke_v	v	n/a
12.6145	0.149	25229	keystroke_e	e	n/a
12.7045	0.135	25409	keystroke_r	r	n/a
12.869	0.135	25738	keystroke_Key.space	Key.space	n/a
13.274	0.135	26548	keystroke_a	a	n/a
13.394	0.12	26788	keystroke_Key.space	Key.space	n/a
14.2645	0.105	28529	keystroke_l	l	n/a
14.3545	0.09	28709	keystroke_a	a	n/a
14.579	0.1055	29158	keystroke_z	z	n/a
15.0895	0.0745	30179	keystroke_y	y	n/a
15.1945	0.12	30389	keystroke_Key.space	Key.space	n/a
15.45	0.104	30900	keystroke_d	d	n/a
15.629	0.075	31258	keystroke_o	o	n/a
15.8395	0.105	31679	keystroke_g	g	n/a
16.139	0.121	32278	keystroke_Key.enter	Key.enter	n/a
16.2695	14.468	32539	prompt	n/a	cartridges recommend expenditure this's\n
17.6395	0.0745	35279	keystroke_c	c	n/a
17.774	0.105	35548	keystroke_a	a	n/a
17.969	0.121	35938	keystroke_r	r	n/a
18.2085	0.1055	36417	keystroke_t	t	n/a
18.9745	0.09	37949	keystroke_r	r	n/a
19.0795	0.105	38159	keystroke_i	i	n/a
19.259	0.1045	38518	keystroke_d	d	n/a
19.979	0.09	39958	keystroke_g	g	n/a
